School,City,Zip Code,2023 Student Enrollments,AZ Rank,Student-Teacher Ratio,Graduation Rate%,Dual Enrollment,Offers Electives,Free Lunch (%),Mental Health Services,Racial % - White,Racial % - Asian,Racial % - Hispanic,Gender - Male,Gender - Female,AP Classes,School Grade,Inexperienced Core Acadamic Teachers
Shearim Torah High School For Girls,"Phoenix,AZ",85014,180,-,6:1,83,no,yes,-,TRUE,64,36,0,0,36,No,B+,2
Skyline Prep High School,"Phoenix,AZ",85042,400,Unranked,-1:1,62,yes,yes,5,TRUE,15,3,44,83,71,No,B-,3
Sonoran Science Academy - Phoenix,"Phoenix,AZ",85008,670,456,-1:1,-,yes,yes,87,TRUE,71,3,50,159,141,No,B-,5
Sonoran Trails Middle School,"Phoenix,AZ",85085,550,187,21.5:1,-,no,yes,8,TRUE,89,2,8,433,433,No,A-,3
South Mountain High School,"Phoenix,AZ",85040,1200,237,16.5:1,71,yes,yes,83,TRUE,3,0,78,839,883,yes,C,7
South Pointe High School,"Phoenix,AZ",85042,950,456,-1:1,-,yes,yes,0,TRUE,3,0,66,247,235,No,B,4
South Ridge High School,"Phoenix,AZ",85043,800,80,-1:1,86,no,yes,67,TRUE,7,2,78,206,239,No,B-,6
Southwest Key Transitional Learning Center,"Phoenix,AZ",85017,300,Unranked,36.8:1,1,no,yes,93,TRUE,0,0,100,279,89,No,-,2
Southwest Leadership Academy,"Phoenix,AZ",85043,600,Unranked,-1:1,24,no,yes,50,TRUE,7,0,83,209,159,No,D-,4
St Marys High School,"Phoenix,AZ",85004,1100,Unranked,14:1,99,yes,yes,-,TRUE,13,4,69,291,252,Yes,C,5
Starshine Academy,"Phoenix,AZ",85008,400,-,-1:1,21,no,yes,54,TRUE,6,1,57,132,89,no,-,2
Sunnyslope High School,"Phoenix,AZ",85021,1300,32,22.1:1,91,yes,yes,45,TRUE,41%,2,49,998,1034,yes,A,6
Suns-diamondbacks Education Academy,"Phoenix,AZ",85014,500,170,24.4:1,30.01,yes,yes,86,TRUE,4%,0,79,126,81,No,C,3
Sweetwater Community School,"Phoenix,AZ",85032,350,Unranked,13.6:1,30,yes,yes,28,TRUE,46%,2,44,126,64,No,B-,3
System Phoenix,"Phoenix,AZ",85006,700,-,-1:1,-,no,yes,86,TRUE,10,1,78,85,71,no,-,6
Thunderbird High School,"Phoenix,AZ",85023,1500,43,22.4:1,93,yes,yes,44,TRUE,51,3,36,801,730,Yes,A-,8
Trevor Browne High School,"Phoenix,AZ",85033,1700,194,20.8:1,79,yes,yes,81,TRUE,3,1,91,1600,1441,Yes,C,7
Tumbleweed Transitional Learning Center,"Phoenix,AZ",85013,500,711,30.5:1,-,no,yes,95,TRUE,2,0,87,36,25,No,-,2
Valley Lutheran High School,"Phoenix,AZ",85013,600,-,9:1,-,yes,yes,-,TRUE,54,11,16,86,78,No,B,4
Victory High School - Campus,"Phoenix,AZ",85041,800,-,-1:1,-,yes,yes,86,TRUE,0,9,82,10,12,No,D+,1
Vista Peak,"Phoenix,AZ",85027,1000,285,4:1,-,yes,yes,43,TRUE,64,0,15,49,12,No,-,6
Vista Verde Middle School,"Phoenix,AZ",85032,1200,422,20:1,-,no,yes,52,TRUE,32,2,56,344,312,No,B,8
Washington High School,"Phoenix,AZ",85021,1800,56,23.3:1,91,yes,yes,66,TRUE,17,6,60,850,890,Yes,A-,5
West Phoenix High School,"Phoenix,AZ",85019,1600,237,-1:1,22,yes,yes,83,TRUE,2,0,90,225,189,No,C,3
West-mec - Barry Goldwater High School,"Phoenix,AZ",85031,650,Unranked,-,19,yes,yes,-,TRUE,-,-,-,-,-,No,B,
West-mec - Cortez High School,"Phoenix,AZ",85051,590,Unranked,-1:1,18,yes,yes,-,TRUE,50,0,0,2,0,No,B-,4
West-mec - Greenway High School,"Phoenix,AZ",85053,710,Unranked,-,18,yes,yes,-,TRUE,-,-,-,-,-,No,B+,6
West-mec - Moon Valley High School,"Phoenix,AZ",85029,680,Unranked,-1:1,18,yes,yes,-,TRUE,100,0,0,2,0,No,B+,2
West-mec - North Canyon High School,"Phoenix,AZ",85024,720,Unranked,-1:1,19,yes,yes,-,TRUE,50,0,17,3,3,No,B,7
West-mec - Paradise Valley High School,"Phoenix,AZ",85032,690,Unranked,-1:1,18,yes,yes,-,TRUE,0,0,0,0,1,No,A,4
West-mec - Pinnacle High School,"Phoenix,AZ",85050,750,Unranked,-,98,yes,yes,-,TRUE,-,-,-,-,-,No,A-,3
West-mec - Shadow Mountain High School,"Phoenix,AZ",85028,680,Unranked,-,92,yes,yes,-,TRUE,-,-,-,-,-,No,B+,5
West-mec - Sunnyslope High School,"Phoenix,AZ",85021,670,Unranked,-,18,yes,yes,-,TRUE,-,-,-,-,-,No,A,2
West-mec - Thunderbird High School,"Phoenix,AZ",85023,700,Unranked,-,18,yes,yes,-,TRUE,-,-,-,-,-,No,A-,4
West-mec - Tonopah Valley High School,"Phoenix,AZ",85354,610,Unranked,-,-,no,yes,-,TRUE,-,-,-,-,-,No,B,1
West-mec - Washington High School,"Phoenix,AZ",85021,730,Unranked,-1:1,-,yes,yes,-,TRUE,0,0,100,1,0,No,A-,6
Western School Of Science And Technology,"Phoenix,AZ",85033,580,14,-1:1,95.5,yes,yes,84,TRUE,1,0,97,179,200,No,C+,0
Westland School,"Phoenix,AZ",85033,560,Unranked,-1:1,64.9,no,yes,76,TRUE,24,1,54,130,159,No,B+,2
Xavier College Preparatory,"Phoenix,AZ",85012,850,8,14:1,-,yes,yes,-,TRUE,83,6,8,0,1206,Yes,A+,7
Yeshiva High School Of Arizona,"Phoenix,AZ",85020,300,Unranked,3:1,-,no,yes,-,TRUE,100,0,0,21,0,no,B,3
