School,City,Zip Code,2023 Student Enrollments,AZ Rank,Student-Teacher Ratio,Graduation Rate%,Dual Enrollment,Offers Electives,Free Lunch (%),Mental Health Services,Racial % - White,Racial % - Asian,Racial % - Hispanic,Gender - Male,Gender - Female,AP Classes,School Grade,Inexperienced Core Acadamic Teachers
Mosaica Preparatory Academy Of Chandler,"Chandler, AZ",85249,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
Oasis Recovery,"Chandler, AZ",85249,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL
Paragon Science Academy,"Chandler, AZ",85249,524,113,NULL,NULL,Yes,Yes,29,TRUE,35.83,24.31,8.04,318,290,No,A,9
Primavera - Online,"Chandler, AZ",85249,5697,456,NULL,NULL,Yes,Yes,NULL,FALSE,40.17,1.22,43.61,3059,4088,Yes,D,34
Santan Junior High School,"Chandler, AZ",85249,1227,125,20:1,NULL,Yes,Yes,NULL,FALSE,62.13,6.51,18.48,580,587,No,B,4
Seton Catholic Preparatory High School,"Chandler, AZ",85249,571,NULL,14:1,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
Tri-city Christian Academy,"Chandler, AZ",85249,205,NULL,9:1,NULL,Yes,Yes,NULL,TRUE,75.39,NULL,17.19,NULL,NULL,No,NULL,NULL
Valley Christian High School,"Chandler, AZ",85249,NULL,NULL,NULL,NULL,Yes,Yes,NULL,TRUE,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL
Willis Junior High School,"Chandler, AZ",85249,932,184,20:1,NULL,Yes,Yes,NULL,TRUE,26.57,3.85,57.69,373,391,No,B,2
Dysart High School,"El Mirage, AZ",85392,1467,112,21:1,89,Yes,Yes,22,FALSE,22.14,2.87,60.76,773,689,Yes,A,8
West-mec - Dysart High School,"El Mirage, AZ",85392,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL
Fountain Hills High School,"Gila Bend, AZ",85268,481,55,25:1,92,Yes,Yes,9,FALSE,64.03,NULL,12.21,232,172,Yes,A,11
Fountain Hills Online,"Gilbert, AZ",85268,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,40.54,NULL,NULL,24,30,Yes,NULL,2
Gila Bend High School,"Gilbert, AZ",85337,143,225,13:1,86,Yes,Yes,98,FALSE,NULL,NULL,67.31,95,94,No,F,5
Arizona Connections Academy,"Gilbert, AZ",85249,995,182,NULL,67,Yes,Yes,NULL,FALSE,45.91,1.13,32.48,1012,981,Yes,B,4
Campo Verde High School,"Gilbert, AZ",85298,1946,29,23:1,95,Yes,Yes,5,FALSE,65.16,3.02,22.61,967,955,Yes,A,19
Cenpatico Schools,"Gilbert, AZ",85249,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL
Cooley Middle School,"Gilbert, AZ",85249,876,131,18:1,NULL,Yes,Yes,NULL,FALSE,54.23,4.23,26.43,441,408,Yes,B,10
Desert Hills High School,"Gilbert, AZ",85249,274,NULL,NULL,17,Yes,Yes,NULL,FALSE,36.36,NULL,38.64,130,115,No,B,4
Eduprize School Gilbert,"Gilbert, AZ",85249,226,167,NULL,98,Yes,Yes,NULL,FALSE,62.33,3.04,25.44,665,705,Yes,A,5
Gilbert Christian Schools,"Gilbert, AZ",85249,1287,NULL,13:1,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
Gilbert Classical Academy High School,"Gilbert, AZ",85234,469,7,20:1,99,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
Gilbert Classical Academy Junior,"Gilbert, AZ",85234,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
Gilbert Global Academy High School,"Gilbert, AZ",85234,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
Gilbert Global Academy Junior High School,"Gilbert, AZ",85234,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
Gilbert High School,"Gilbert, AZ",85234,2295,97,22:1,87,Yes,Yes,NULL,FALSE,53.7,3.7,31.19,1199,1140,Yes,B,41
Gilbert Junior High School,"Gilbert, AZ",85234,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,,,NULL,NULL,NULL,Yes,NULL,NULL
Great Hearts Academies - Arete Prep,"Gilbert, AZ",85298,250,107,NULL,98,Yes,Yes,NULL,FALSE,54.2,8.05,25.76,257,297,Yes,A,11
Greenfield Junior High School,"Gilbert, AZ",85298,1142,95,22:1,NULL,Yes,Yes,NULL,FALSE,67.22,2.41,23.13,615,580,Yes,B,2
Highland High School,"Gilbert, AZ",85234,3146,48,22:1,95,Yes,Yes,NULL,FALSE,69.07,3.31,19.48,1559,1463,Yes,A,29
Higley High School,"Gilbert, AZ",85298,2174,35,25:1,95,Yes,Yes,5,FALSE,66.17,3.09,20.31,1150,1010,Yes,A,16
Leading Edge Academy Gilbert Early College,"Gilbert, AZ",85295,222,163,NULL,93,Yes,Yes,13,FALSE,51.14,NULL,30.14,109,89,Yes,B,6
Leading Edge Online Academy,"Gilbert, AZ",85295,113,NULL,NULL,90,Yes,Yes,NULL,FALSE,33.48,NULL,30.87,NULL,NULL,Yes,NULL,NULL
Learning Foundation And Performing Arts Gilbert,"Gilbert, AZ",85296,237,237,NULL,80,Yes,Yes,NULL,FALSE,46.21,NULL,27.27,109,151,Yes,B,18
Mesquite High School,"Gilbert, AZ",85297,1411,171,23:1,88,Yes,Yes,NULL,FALSE,42.88,3.51,39.51,720,696,Yes,B,21
Mesquite Jr High School,"Gilbert, AZ",85297,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,40.27,NULL,43.49,401,367,Yes,C,15
Perry High School,"Gilbert, AZ",85297,3174,39,20:1,92,Yes,Yes,NULL,FALSE,65.7,7.74,18,1322,1264,Yes,A,9
San Tan Charter School,"Gilbert, AZ",85298,251,168,NULL,86,Yes,Yes,NULL,FALSE,60.83,2.65,26.5,491,406,Yes,B,5
